camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
RED-T1-C2-1500;Cazumbá-iracema;não;Redenção;-7685997.36;-1040560.64;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T1-C3-2550;Cazumbá-iracema;não;Redenção;-7686959.04;-1040078.43;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T1-C4-3850;Cazumbá-iracema;não;Redenção;-7688153.28;-1039477.09;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T1-C5-6050;Cazumbá-iracema;não;Redenção;-7690664.31;-1039572.7;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T2-C1-1550;Cazumbá-iracema;não;Redenção;-7686262.74;-1041027.38;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T2-C2-2100;Cazumbá-iracema;não;Redenção;-7686892.03;-1041209.74;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T2-C3-3050;Cazumbá-iracema;não;Redenção;-7687783.81;-1041342.91;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T2-C4-4380;Cazumbá-iracema;não;Redenção;-7689079.34;-1042099.53;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T2-C5-6200;Cazumbá-iracema;não;Redenção;-7690664.31;-1043317.33;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T3-C1-950;Cazumbá-iracema;não;Redenção;-7684170.49;-1042151.77;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T3-C2-1700;Cazumbá-iracema;não;Redenção;-7683296.63;-1042302.64;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T3-C3-2500;Cazumbá-iracema;não;Redenção;-7682241.55;-1042076.78;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T3-C4-3550;Cazumbá-iracema;não;Redenção;-7681125.79;-1042013.79;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T3-C5-4500;Cazumbá-iracema;não;Redenção;-7680264.51;-1042501.5;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
RED-T3-C6-6100;Cazumbá-iracema;não;Redenção;-7678712.49;-1042807.08;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
REM-T1-C1-950;Médio Purus;não;Remanso;-7318022.21;-851029.05;Purus varzeá;PV;Amazon River and Flooded Forests;32
REM-T1-C2-1500;Médio Purus;não;Remanso;-7317835.08;-850443.447;Purus varzeá;PV;Amazon River and Flooded Forests;32
REM-T1-C3-2300;Médio Purus;não;Remanso;-7317676.22;-849653.091;Purus varzeá;PV;Amazon River and Flooded Forests;32
REM-T1-C4-3750;Médio Purus;não;Remanso;-7317170.84;-848279.071;Purus varzeá;PV;Amazon River and Flooded Forests;32
REM-T1-C5-4500;Médio Purus;não;Remanso;-7317355.4;-847491.548;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
REM-T1-C6-5600;Médio Purus;não;Remanso;-7317463.16;-846381.695;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
REM-T2-C1-1150;Médio Purus;não;Remanso;-7317641.61;-850885.77;Purus varzeá;PV;Amazon River and Flooded Forests;32
