Camera.Trap.Name,data.hora.correta,Photo.time,bin
2021,6/15/13 10:39,10:39:03,Puma yagouaroundi
2031,6/14/13 20:15,20:15:17,Cuniculus paca
2031,6/14/13 20:15,20:15:18,Cuniculus paca
2031,6/14/13 20:15,20:15:19,Cuniculus paca
2031,7/2/13 11:53,11:53:15,Eira barbara
2031,7/7/13 09:38,09:38:07,Eira barbara
2031,7/7/13 09:38,09:38:08,Eira barbara
2031,7/10/13 06:46,06:46:25,Leopardus pardalis
2031,7/10/13 06:46,06:46:26,Leopardus pardalis
2031,6/14/13 20:20,20:20:32,Mazama americana
2031,6/14/13 20:20,20:20:33,Mazama americana
2031,6/14/13 20:20,20:20:34,Mazama americana
2031,6/20/13 06:25,06:25:14,Mazama americana
2031,6/20/13 06:25,06:25:15,Mazama americana
2031,6/20/13 06:25,06:25:16,Mazama americana
2031,6/20/13 06:25,06:25:20,Mazama americana
2031,6/20/13 06:25,06:25:21,Mazama americana
2031,6/20/13 06:25,06:25:22,Mazama americana
2031,7/3/13 04:41,04:41:32,Metachirus spp
2031,7/3/13 04:41,04:41:33,Metachirus spp
2031,7/3/13 04:41,04:41:34,Metachirus spp
2031,6/12/13 09:50,09:50:05,Psophia leucoptera
2031,6/12/13 09:50,09:50:06,Psophia leucoptera
2031,6/12/13 09:50,09:50:06,Psophia leucoptera
2031,6/12/13 09:50,09:50:10,Psophia leucoptera
2031,6/12/13 09:50,09:50:11,Psophia leucoptera
2031,6/12/13 09:50,09:50:12,Psophia leucoptera
2031,6/12/13 09:50,09:50:17,Psophia leucoptera
2031,6/12/13 09:50,09:50:18,Psophia leucoptera
2031,6/12/13 09:50,09:50:18,Psophia leucoptera
2031,6/12/13 09:50,09:50:23,Psophia leucoptera
2031,6/12/13 09:50,09:50:23,Psophia leucoptera
2031,6/12/13 09:50,09:50:24,Psophia leucoptera
2031,6/12/13 09:50,09:50:40,Psophia leucoptera
2031,6/12/13 09:50,09:50:41,Psophia leucoptera
2031,6/12/13 09:50,09:50:42,Psophia leucoptera
2031,6/12/13 09:50,09:50:48,Psophia leucoptera
2031,6/12/13 09:50,09:50:49,Psophia leucoptera
2031,6/12/13 09:50,09:50:50,Psophia leucoptera
2031,6/12/13 09:50,09:50:54,Psophia leucoptera
2031,6/12/13 09:50,09:50:55,Psophia leucoptera
2031,6/12/13 09:50,09:50:56,Psophia leucoptera
2031,7/11/13 15:31,15:31:48,Psophia leucoptera
2031,7/11/13 15:31,15:31:49,Psophia leucoptera
2031,7/11/13 15:31,15:31:50,Psophia leucoptera
2031,7/11/13 15:32,15:32:36,Psophia leucoptera
2031,7/11/13 15:32,15:32:37,Psophia leucoptera
2031,7/11/13 15:32,15:32:38,Psophia leucoptera
2031,7/4/13 03:20,03:20:10,Tamandua tetradactyla
2031,7/4/13 03:20,03:20:11,Tamandua tetradactyla
2031,7/4/13 03:20,03:20:12,Tamandua tetradactyla
2041,6/18/13 11:29,11:29:57,Dasyprocta fuliginosa
2041,6/18/13 11:29,11:29:58,Dasyprocta fuliginosa
2041,6/18/13 11:29,11:29:58,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:22,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:23,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:23,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:33,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:34,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:35,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:39,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:40,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:40,Dasyprocta fuliginosa
2041,6/18/13 11:54,11:54:48,Dasyprocta fuliginosa
