Camera.Trap.Name;Instalacao.1;Retirada.1;;;;;
8053;02/09/2014 16:35;02/10/2014 13:22;;;;;
8054;02/09/2014 15:05;02/10/2014 11:53;;;;;
8055;02/09/2014 13:17;02/10/2014 10:26;;;;;
8061;03/09/2014 15:51;03/10/2014 11:33;;;;;
8062;03/09/2014 15:30;03/10/2014 11:23;;;;;
8063;03/09/2014 15:03;03/10/2014 10:53;;;;;
8064;03/09/2014 13:26;03/10/2014 09:11;;;;;
8071;04/09/2014 13:56;04/10/2014 14:02;;;;;
8072;04/09/2014 13:36;04/10/2014 13:49;;;;;
8073;04/09/2014 13:08;04/10/2014 13:24;;;;;
8074;04/09/2014 12:09;04/10/2014 12:12;;;;;
8075;04/09/2014 10:46;04/10/2014 11:02;;;;;
8081;06/09/2014 16:05;06/10/2014 12:23;;;;;
8082;06/09/2014 15:34;06/10/2014 12:03;;;;;
8083;06/09/2014 15:02;06/10/2014 11:46;;;;;
8084;06/09/2014 13:59;06/10/2014 10:50;;;;;
8085;06/09/2014 12:36;06/10/2014 09:24;;;;;
8092;07/09/2014 11:46;07/10/2014 11:30;;;;;
8093;07/09/2014 11:17;07/10/2014 11:10;;;;;
8094;07/09/2014 10:32;07/10/2014 10:17;;;;;
8101;08/09/2014 11:27;08/10/2014 10:34;;;;;
8102;08/09/2014 11:01;08/10/2014 10:21;;;;;
8103;08/09/2014 10:35;08/10/2014 09:51;;;;;
8104;08/09/2014 09:42;08/10/2014 08:35;;;;;
6011;12/01/2014 12:02;26/02/2014 09:26;;;;;
6013;12/01/2014 11:27;26/02/2014 09:46;;;;;
6021;07/01/2014 07:33;27/02/2014 08:41;;;;;
6022;07/01/2014 07:52;02/02/2014 09:12;;;;;
6023;07/01/2014 08:29;27/02/2014 09:40;;;;;
6031;09/01/2014 08:51;20/02/2014 14:47;;;;;
6032;09/01/2014 09:19;17/02/2014 13:17;;;;;
6033;09/01/2014 10:34;20/02/2014 15:16;;;;;
6034;09/01/2014 11:28;12/02/2014 11:19;;;;;
6041;05/01/2014 09:06;18/02/2014 14:10;;;;;
