Camera.Trap.Name;data.hora.correta;Photo.time;bin;;;
1061;16/05/2013 07:13;07:13:34;Dasyprocta fuliginosa;;;
1061;16/05/2013 07:13;07:13:34;Dasyprocta fuliginosa;;;
1061;16/05/2013 07:13;07:13:35;Dasyprocta fuliginosa;;;
1061;24/05/2013 17:23;17:23:39;Dasyprocta fuliginosa;;;
1061;24/05/2013 17:23;17:23:40;Dasyprocta fuliginosa;;;
1061;24/05/2013 17:23;17:23:40;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:17;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:18;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:19;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:26;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:27;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:28;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:33;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:34;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:35;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:39;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:40;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:41;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:53;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:54;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:43;14:43:55;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:44;14:44:15;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:44;14:44:16;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:44;14:44:17;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:44;14:44:34;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:44;14:44:35;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:44;14:44:36;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:45;14:45:08;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:45;14:45:09;Dasyprocta fuliginosa;;;
1061;26/05/2013 14:45;14:45:10;Dasyprocta fuliginosa;;;
1061;05/06/2013 08:08;08:08:13;Dasyprocta fuliginosa;;;
1061;05/06/2013 08:08;08:08:13;Dasyprocta fuliginosa;;;
1061;05/06/2013 08:08;08:08:14;Dasyprocta fuliginosa;;;
1061;06/05/2013 02:24;02:24:53;Dasyspus spp;;;
1061;06/05/2013 02:24;02:24:54;Dasyspus spp;;;
1061;06/05/2013 02:24;02:24:54;Dasyspus spp;;;
1061;06/05/2013 02:25;02:25:13;Dasyspus spp;;;
1061;06/05/2013 02:25;02:25:14;Dasyspus spp;;;
1061;06/05/2013 02:25;02:25:15;Dasyspus spp;;;
1061;31/05/2013 20:32;20:32:24;Dasyspus spp;;;
1061;31/05/2013 20:32;20:32:25;Dasyspus spp;;;
1061;31/05/2013 20:32;20:32:25;Dasyspus spp;;;
1061;24/05/2013 22:46;22:46:08;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:09;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:10;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:16;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:16;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:17;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:22;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:23;Mazama Sp;;;
1061;24/05/2013 22:46;22:46:23;Mazama Sp;;;
1061;08/05/2013 07:13;07:13:48;Panthera onca;;;
1061;08/05/2013 07:13;07:13:49;Panthera onca;;;
1061;08/05/2013 07:13;07:13:49;Panthera onca;;;
1061;08/05/2013 07:13;07:13:55;Panthera onca;;;
1061;08/05/2013 07:13;07:13:56;Panthera onca;;;
1061;08/05/2013 07:13;07:13:57;Panthera onca;;;
1061;08/05/2013 07:14;07:14:01;Panthera onca;;;
1061;08/05/2013 07:14;07:14:02;Panthera onca;;;
1061;08/05/2013 07:14;07:14:03;Panthera onca;;;
1061;08/05/2013 07:14;07:14:07;Panthera onca;;;
1061;08/05/2013 07:14;07:14:08;Panthera onca;;;
1061;08/05/2013 07:14;07:14:09;Panthera onca;;;
1061;08/05/2013 07:14;07:14:13;Panthera onca;;;
1061;08/05/2013 07:14;07:14:14;Panthera onca;;;
1061;08/05/2013 07:14;07:14:15;Panthera onca;;;
1061;08/05/2013 07:14;07:14:20;Panthera onca;;;
1061;08/05/2013 07:14;07:14:21;Panthera onca;;;
1061;08/05/2013 07:14;07:14:22;Panthera onca;;;
1061;08/05/2013 07:14;07:14:26;Panthera onca;;;
1061;08/05/2013 07:14;07:14:27;Panthera onca;;;
1061;08/05/2013 07:14;07:14:28;Panthera onca;;;
1061;13/05/2013 06:32;06:32:30;Panthera onca;;;
1061;13/05/2013 06:32;06:32:31;Panthera onca;;;
1061;13/05/2013 06:32;06:32:32;Panthera onca;;;
2011;13/06/2013 18:18;18:18:43;Dasyprocta fuliginosa;;;
2011;13/06/2013 18:18;18:18:44;Dasyprocta fuliginosa;;;
2011;13/06/2013 18:18;18:18:44;Dasyprocta fuliginosa;;;
2011;13/06/2013 18:20;18:20:02;Dasyprocta fuliginosa;;;
2011;13/06/2013 18:20;18:20:03;Dasyprocta fuliginosa;;;
2011;13/06/2013 18:20;18:20:03;Dasyprocta fuliginosa;;;
2011;10/06/2013 20:34;20:34:42;Mazama americana;;;
2011;10/06/2013 20:34;20:34:43;Mazama americana;;;
2011;10/06/2013 20:34;20:34:43;Mazama americana;;;
2011;10/06/2013 20:35;20:35:01;Mazama americana;;;
2011;10/06/2013 20:35;20:35:02;Mazama americana;;;
2011;10/06/2013 20:35;20:35:03;Mazama americana;;;
2011;09/06/2013 18:25;18:25:07;Myrmecophaga tridactyla;;;
2011;09/06/2013 18:25;18:25:08;Myrmecophaga tridactyla;;;
