camera_id;X;Y
C2-T2-C3-3700;-8008158;-849434
C2-T2-C5-6005;-8005660;-849421
C2-T1-C1-1900;-8008687;-846402
C2-T1-C3-3400;-8007108;-846351
C2-T1-C2-2500;-8008015;-846441
C2-T1-C5-5900;-8004673;-847132
C2-T1-C4-4300;-8006233;-846477
C3-T3-C5-6000;-8015552;-844072
C3-T3-C1-1450;-8010935;-843893
C3-T3-C3-3100;-8012632;-843996
C3-T3-C2-2000;-8011434;-844125
C3-T3-C4-4200;-8013767;-844070
C3-T2-C2-1220;-8010822;-843234
C3-T2-C1-450;-8010050;-843345
C3-T2-C4-3700;-8013135;-842098
C3-T2-C3-2020;-8011609;-843088
C3-T2-C5-6000;-8015654;-842835
C3-T1-C1-1500;-8008102;-843498
C3-T1-C3-3000;-8006579;-843891
C3-T1-C2-2230;-8007348;-843554
C3-T1-C5-4700;-8004961;-844474
C3-T1-C4-4000;-8005614;-844055
C4-T3-C6-6000;-8015249;-840010
C4-T3-C5-4700;-8013908;-839653
C4-T3-C1-950;-8010127;-839315
C4-T3-C3-2350;-8011562;-839353
C4-T3-C2-1530;-8010746;-839406
C4-T3-C4-3740;-8012969;-839491
C4-T2-C1-1600;-8009170;-836970
C4-T2-C3-3250;-8010549;-835985
C4-T2-C2-2300;-8009860;-836573
C4-T2-C5-5150;-8011632;-834260
C4-T2-C4-4150;-8011320;-835448
C4-T2-C6-6150;-8012461;-833669
C4-T1-C2-2880;-8005748;-840204
C4-T1-C5-5050;-8004155;-841701
C4-T1-C4-4150;-8004655;-840871
C4-T1-C6-5950;-8003593;-842404
C4-T1-C3-3400;-8005345;-840542
MAP-T1-C3-2560;-8019340;-863131
MAP-T1-C1-1100;-8018010;-863953
MAP-T1-C5-6050;-8022048;-860871
MAP-T1-C4-3950;-8020527;-862329
MOR-T2-C1-700;-8021831;-870082
MOR-T2-C3-2200;-8023145;-869364
MOR-T2-C2-1400;-8022517;-869790
MOR-T3-C2-5340;-8026503;-869742
MOR-T3-C1-4000;-8025183;-870324
MOR-T3-C3-6000;-8027170;-869717
MOR-T1-C2-1300;-8021920;-869080
MOR-T1-C1-800;-8021536;-869382
MOR-T1-C4-3070;-8023531;-868225
MOR-T1-C3-2250;-8022826;-868687
LIM-T1-C10-5800;-8027098;-880150
LIM-T1-C1-770;-8023069;-876686
LIM-T1-C3-1800;-8024127;-876608
LIM-T1-C2-1300;-8023562;-876717
LIM-T1-C5-2800;-8025100;-876958
LIM-T1-C4-2400;-8024706;-876566
LIM-T1-C7-3930;-8025982;-878228
LIM-T1-C6-3380;-8025551;-877759
LIM-T1-C9-5170;-8026652;-879626
LIM-T1-C8-4550;-8026135;-879274
PER-T4-C2-2070;-8024164;-895729
PER-T4-C1-1350;-8023440;-895572
PER-T4-C4-4000;-8026127;-895906
PER-T4-C3-2830;-8024878;-896010
PER-T4-C5-6000;-8028255;-895643
PER-T3-C1-400;-8021171;-894453
PER-T3-C3-2580;-8019650;-895325
PER-T3-C2-1520;-8020672;-894982
PER-T3-C5-5670;-8016698;-895689
PER-T3-C4-3880;-8018324;-895623
PER-T2-C2-1550;-8021077;-896082
PER-T2-C1-550;-8021718;-895302
PER-T2-C4-4090;-8018921;-897502
PER-T2-C3-2460;-8020435;-896878
PER-T2-C5-5670;-8017750;-898602
PER-T1-C3-2770;-8024879;-894135
PER-T1-C2-1550;-8023784;-894758
PER-T1-C5-5850;-8027732;-892920
PER-T1-C4-4000;-8025983;-893646
PER-T1-C1-1080;-8023290;-895025
ALE-T2-C1-850;-8044167;-876028
ALE-T2-C3-2800;-8042885;-877558
ALE-T2-C2-1500;-8043639;-876453
ALE-T2-C5-6180;-8039471;-878739
ALE-T2-C4-4200;-8041807;-878412
ALE-T1-C2-850;-8046992;-881157
ALE-T1-C1-288;-8046588;-880807
ALE-T1-C4-4800;-8046532;-885488
ALE-T1-C3-2550;-8046953;-883153
ALE-T1-C5-5900;-8046747;-886598
1012;-7488427;-603464
1013;-7487919;-603865
1014;-7486464;-605263
1015;-7484207;-606897
1021;-7496132;-612027
1022;-7495965;-611779
1023;-7495433;-611320
1024;-7493960;-610010
1025;-7491750;-609488
1031;-7481923;-596960
1032;-7481830;-597244
1033;-7481489;-597810
1034;-7480462;-599522
1035;-7478644;-601894
1041;-7479725;-596280
1042;-7479400;-596235
1043;-7478832;-595892
1044;-7476806;-595786
1045;-7473799;-595639
1051;-7507896;-588607
1052;-7508302;-588611
1053;-7508951;-588677
1054;-7510975;-588686
1061;-7518249;-599062
1062;-7518529;-599043
1063;-7519197;-598932
1064;-7520204;-598102
1065;-7520012;-597568
2011;-7437982;-561075
2012;-7437673;-561115
2013;-7437078;-561160
2014;-7435038;-561274
2015;-7432553;-561441
2021;-7443715;-568481
2022;-7443636;-568764
2023;-7443396;-569526
2024;-7442194;-570970
2031;-7472095;-559892
2032;-7472373;-559847
2033;-7472514;-558994
2034;-7473139;-557122
2035;-7471259;-553987
2041;-7473450;-558897
2042;-7473582;-558659
2043;-7473812;-558021
2044;-7474241;-556083
2051;-7476984;-560402
2052;-7477135;-560113
2053;-7477628;-559666
2054;-7479004;-558239
2055;-7480272;-555345
2061;-7482266;-560921
2062;-7482066;-560666
2063;-7481626;-560175
2064;-7481867;-557989
2065;-7482333;-554961
2071;-7483592;-563477
2072;-7483704;-563728
2073;-7484029;-564300
2074;-7485199;-565915
2081;-7497654;-577830
2082;-7497929;-577787
2083;-7498550;-577946
2084;-7500629;-578314
2091;-7493746;-570432
2092;-7494018;-570597
2093;-7494675;-570673
2094;-7496636;-571015
